"foaf_depicts","dcterms_identifier","dcterms_created","dcterms_modified","label","dcterms_description","ac_tag","geo_lat","geo_long","ac_accessURI","exif_PixelXDimension","exif_PixelYDimension","geo_alt"
"000125",4831704312,"2010-07-01T20:53:57","2017-04-04T08:11:00-05:00","dsc0428jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4102/4831704312_3eb668663f_",2048,1371,
"000125",4831092645,"2010-07-01T20:54:18","2017-04-04T08:11:00-05:00","dsc0429jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4139/4831092645_e20b526dd1_",2048,1371,
"000125",4831705794,"2010-07-01T20:54:30","2017-04-04T08:11:00-05:00","dsc0430jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4124/4831705794_69f95da288_",2048,1371,
"000125",4831093995,"2010-07-01T20:54:39","2017-04-04T08:11:00-05:00","dsc0431jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4124/4831093995_9161eaeffe_",2048,1371,
"000125",4831095091,"2010-07-01T20:54:55","2017-04-04T08:11:00-05:00","dsc0432jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4086/4831095091_c85be57ca3_",2048,1371,
"000125",4831707818,"2010-07-01T20:55:01","2017-04-04T08:11:00-05:00","dsc0433jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4117/4831707818_2e8612d499_",2048,1371,
"000125",4831096175,"2010-07-01T20:55:04","2017-04-04T08:11:00-05:00","dsc0434jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4129/4831096175_1a11a607ae_",2048,1371,
"000125",4831708790,"2010-07-01T20:55:11","2017-04-04T08:11:00-05:00","dsc0435jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4110/4831708790_d5bbfa8b57_",2048,1371,
"000125",4831709140,"2010-07-01T20:55:15","2017-04-04T08:11:00-05:00","dsc0436jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4100/4831709140_9340214837_",2048,1371,
"000125",4831097469,"2010-07-01T20:55:24","2017-04-04T08:11:00-05:00","dsc0437jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4154/4831097469_3f86fa4a0a_",2048,1371,
"000125",4831097791,"2010-07-01T20:55:29","2017-04-04T08:11:00-05:00","dsc0438jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4118/4831097791_8c7bb7bd52_",2048,1371,
"000125",4831098187,"2010-07-01T20:55:34","2017-04-04T08:11:00-05:00","dsc0439jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4135/4831098187_69af8d50e3_",1371,2048,
